Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,22uF,C2929200
"C2, C4, C5",1210,3,10uF,C2929200
C3,0603,1,10uF,C96446
"C6, C7, C8, C9",CAPPRD350W65D800H1650,4,EEU-FC1J101LB,
"J1, J3, J5, J6",CONN-TH_P5.08_KF128-5.08-2P,4,Screw_Terminal_01x02,C474952
"J10, J11, J12, J13, J14, J7, J8, J9",PinHeader_2x04_P2.54mm_Vertical,8,Conn_02x04_Odd_Even,
R1,0603,1,500,C2989147
"R2, R_nSLEEP1, R_nSLEEP2, R_nSLEEP3, R_nSLEEP6",0603,5,8.2k,C25981
"R_IPROP1, R_IPROP2, R_IPROP3, R_IPROP4, R_nFAULT1, R_nFAULT2, R_nFAULT3, R_nFAULT4",0603,8,820,C23253
U1,U_DGQ0028A_TEX-L,1,PDRV8244SPWPQ1,
"U2, U5",U_PWP0028R_TEX,2,PDRV8245SPWPQ1,
U3,VSSOP_SDGQQ1_TEX,1,PDRV8243SPWPQ1,
U4,CONN-TH_XT30PW-F-1,1,XT30PW-F,C2913282
"V3v1, VM1",0603,2,LED,C965804
