Designator,Mid X,Mid Y,Rotation,Layer
C1,140.9,-78.8,90.0,top
C2,145.15,-78.8,90.0,top
C3,81.9,-82.9,180.0,top
C4,149.4,-78.8,90.0,top
C5,81.4,-80.4,180.0,top
C6,81.85,-103.6,180.0,top
C7,82.0,-95.2,180.0,top
C8,145.5,-100.5,270.0,top
C9,81.95,-86.8,180.0,top
J1,103.88,-68.435,180.0,top
J10,96.5,-107.0,90.0,top
J11,113.5,-107.0,90.0,top
J12,121.725,-94.8,0.0,top
J13,113.5,-115.0,90.0,top
J14,96.5,-115.5,90.0,top
J3,91.38,-68.435,180.0,top
J5,132.88,-68.435,180.0,top
J6,121.18,-68.435,180.0,top
J7,90.5,-94.8,0.0,top
J8,132.775,-94.8,0.0,top
J9,103.5,-94.8,0.0,top
R1,139.4,-108.2,90.0,top
R2,142.2,-108.2,90.0,top
R_IPROP1,120.5,-114.5,270.0,top
R_IPROP2,123.5,-114.5,270.0,top
R_IPROP3,126.5,-114.5,270.0,top
R_IPROP4,129.5,-114.5,270.0,top
R_nFAULT1,130.5,-108.5,90.0,top
R_nFAULT2,124.5,-108.5,90.0,top
R_nFAULT3,133.7,-108.4,90.0,top
R_nFAULT4,127.5,-108.5,90.0,top
R_nSLEEP1,142.5,-114.5,90.0,top
R_nSLEEP2,139.5,-114.5,90.0,top
R_nSLEEP3,136.5,-114.5,90.0,top
R_nSLEEP6,133.5,-114.5,90.0,top
U1,90.5,-79.0,180.0,top
U2,132.5,-79.5,180.0,top
U3,103.5,-79.0,180.0,top
U4,147.2,-88.615,90.0,top
U5,120.5,-79.5,180.0,top
V3v1,136.6,-108.2,90.0,top
VM1,145.0,-108.2,90.0,top
